Constructed;AfterLS;Best
6919;6919;6919
9947;9947;9947
8499;8499;9947
8835;8835;9947
7092;7101;9947
3085;3953;9947
9623;9623;9947
9900;10188;10188
10027;10099;10188
10527;10527;10527
9084;9084;10527
7841;7841;10527
7178;7540;10527
6134;6134;10527
8082;8384;10527
3743;4834;10527
8991;9091;10527
6697;6944;10527
9276;9276;10527
6828;6857;10527
10422;10422;10527
6787;7072;10527
4497;4497;10527
6381;6695;10527
9139;9139;10527
8759;9004;10527
10159;10159;10527
9275;9992;10527
10189;10189;10527
9858;9858;10527
9548;9548;10527
10118;10118;10527
8399;8399;10527
4791;5062;10527
7585;7585;10527
8527;8749;10527
8423;8423;10527
6613;6789;10527
10346;10346;10527
9122;9122;10527
9821;9821;10527
7295;7295;10527
8578;8578;10527
3725;3725;10527
5861;5861;10527
5656;5874;10527
7865;7865;10527
8061;8061;10527
9743;9743;10527
7257;7257;10527
8623;8623;10527
9469;9469;10527
9918;9918;10527
10002;10002;10527
7192;7192;10527
6680;6709;10527
9789;9789;10527
6309;6831;10527
4384;5060;10527
7223;7374;10527
4938;4938;10527
9336;9779;10527
7943;7943;10527
7912;8181;10527
8930;8930;10527
1684;1783;10527
7032;7032;10527
9704;9704;10527
8589;8589;10527
9174;9174;10527
9085;9085;10527
6692;6692;10527
9444;9444;10527
8213;8213;10527
7776;7776;10527
6878;6987;10527
8906;8906;10527
7678;7939;10527
9348;9348;10527
7722;7722;10527
10312;10312;10527
9763;9763;10527
10358;10358;10527
8884;8884;10527
5332;5351;10527
10307;10307;10527
9214;9214;10527
7697;7815;10527
7342;7663;10527
8409;8409;10527
9349;9862;10527
6454;6454;10527
8017;8786;10527
10396;10396;10527
7923;7923;10527
6115;6338;10527
8852;9356;10527
9141;9141;10527
9655;9655;10527
8733;8735;10527
7783;7783;10527
4525;5347;10527
8763;8763;10527
4795;5035;10527
7008;7008;10527
10261;10649;10649
8667;8667;10649
4167;4167;10649
7056;7056;10649
8794;8916;10649
10595;10595;10649
9518;9518;10649
9220;9220;10649
6411;6411;10649
7351;7489;10649
4110;4110;10649
9924;9924;10649
4439;4439;10649
7380;7380;10649
9611;9951;10649
9616;9616;10649
8040;8216;10649
7988;7988;10649
11007;11007;11007
5701;6339;11007
8294;8294;11007
5315;5572;11007
6680;6949;11007
8515;8515;11007
8078;8089;11007
8723;8723;11007
7949;8025;11007
9847;9847;11007
9755;9755;11007
5865;6077;11007
2554;2821;11007
9895;9924;11007
9139;9139;11007
4729;4729;11007
6184;6184;11007
9138;9138;11007
10446;10773;11007
6517;6517;11007
7278;7339;11007
9922;9922;11007
7470;7637;11007
8528;8528;11007
9349;9349;11007
7080;7080;11007
6688;7229;11007
8452;8452;11007
4594;5300;11007
9675;9675;11007
9547;9547;11007
8305;8305;11007
7548;7873;11007
8701;8701;11007
7742;7742;11007
10205;10205;11007
6956;7098;11007
6115;6247;11007
9869;9869;11007
8178;8178;11007
6712;6712;11007
6554;6554;11007
8708;8708;11007
9269;9269;11007
4287;4391;11007
9764;9764;11007
9236;9539;11007
7846;7930;11007
5749;6339;11007
5007;5007;11007
8463;8633;11007
7299;7299;11007
9838;9997;11007
6903;6903;11007
9018;9018;11007
7650;7650;11007
8534;8534;11007
9775;9775;11007
5570;6084;11007
10217;10217;11007
10327;10327;11007
9815;9815;11007
6314;6849;11007
9598;9598;11007
9002;9296;11007
10069;10069;11007
10675;10675;11007
7047;7287;11007
8917;8917;11007
8444;8553;11007
9042;9042;11007
5924;6844;11007
7708;7708;11007
10197;10197;11007
7673;8172;11007
4674;5516;11007
7244;7244;11007
9324;9324;11007
9780;9898;11007
10013;10013;11007
9187;9187;11007
10501;10501;11007
10446;10446;11007
6012;6197;11007
10024;10024;11007
7271;8040;11007
8951;8951;11007
6939;8119;11007
7204;7204;11007
8407;8407;11007
8765;8973;11007
8960;8960;11007
7504;7504;11007
9679;9690;11007
10223;10223;11007
7079;7079;11007
8509;8666;11007
6571;6818;11007
9199;9199;11007
4767;4767;11007
8032;8375;11007
